frame,time,shoulder_pan_raw,shoulder_lift_raw,elbow_flex_raw,wrist_flex_raw,wrist_roll_raw,gripper_raw
179,5.966666666666667,2066,1329,856,965,712,1614
180,6.0,2069,1329,856,967,712,1641
181,6.033333333333333,2070,1329,856,971,712,1660
182,6.066666666666666,2071,1329,856,975,712,1669
183,6.1,2072,1328,856,978,712,1672
184,6.133333333333334,2072,1326,856,983,712,1672
185,6.166666666666667,2072,1324,856,992,712,1672
186,6.2,2074,1321,856,998,712,1672
187,6.233333333333333,2075,1318,856,1003,712,1672
188,6.266666666666667,2076,1315,856,1003,712,1672
189,6.3,2078,1313,856,1003,712,1673
190,6.333333333333333,2079,1311,856,998,709,1680
191,6.366666666666666,2080,1308,856,993,709,1688
192,6.4,2080,1306,856,991,707,1693
193,6.433333333333334,2080,1304,856,987,705,1702
194,6.466666666666667,2080,1303,856,981,705,1705
195,6.5,2081,1302,856,976,705,1701
196,6.533333333333333,2081,1302,856,969,705,1696
197,6.566666666666666,2083,1301,856,959,705,1690
198,6.6,2083,1301,856,945,705,1690
199,6.633333333333334,2084,1301,856,934,705,1690
200,6.666666666666667,2084,1301,856,925,705,1688
201,6.7,2084,1300,856,921,705,1686
202,6.733333333333333,2084,1300,856,916,705,1686
203,6.766666666666667,2084,1300,856,912,705,1686
204,6.8,2084,1300,856,911,708,1685
205,6.833333333333333,2084,1300,856,910,708,1685
206,6.866666666666666,2083,1300,856,908,708,1686
207,6.9,2082,1300,856,908,708,1688
208,6.933333333333334,2082,1300,856,908,708,1689
209,6.966666666666667,2081,1299,856,908,707,1689
210,7.0,2081,1298,856,908,705,1690
211,7.033333333333333,2080,1296,856,908,703,1690
212,7.066666666666666,2079,1293,856,908,703,1689
213,7.1,2078,1289,856,910,700,1689
214,7.133333333333334,2077,1285,856,912,698,1688
215,7.166666666666667,2076,1281,856,914,697,1688
216,7.2,2075,1277,856,918,696,1688
217,7.233333333333333,2074,1273,856,922,694,1688
218,7.266666666666667,2072,1269,856,924,693,1688
219,7.3,2072,1266,856,925,691,1688
220,7.333333333333333,2072,1263,856,927,688,1685
221,7.366666666666666,2071,1261,856,928,687,1685
222,7.4,2071,1261,856,928,687,1688
223,7.433333333333334,2071,1260,856,929,687,1688
224,7.466666666666667,2071,1260,856,932,687,1688
225,7.5,2071,1260,856,934,687,1686
226,7.533333333333333,2071,1260,856,939,687,1685
227,7.566666666666666,2071,1259,856,941,687,1682
228,7.6,2071,1258,856,945,684,1680
229,7.633333333333334,2070,1257,856,950,684,1678
230,7.666666666666667,2070,1257,856,955,684,1677
231,7.7,2069,1256,856,960,683,1676
232,7.733333333333333,2069,1255,856,964,683,1676
233,7.766666666666667,2068,1254,856,969,683,1676
234,7.8,2068,1253,856,973,683,1676
235,7.833333333333333,2068,1253,856,976,683,1673
236,7.866666666666666,2068,1253,856,978,683,1657
237,7.9,2068,1253,856,982,682,1632
238,7.933333333333334,2068,1253,856,987,678,1602
239,7.966666666666667,2068,1253,856,991,678,1601
240,8.0,2068,1253,856,996,678,1601
241,8.033333333333333,2068,1255,856,998,680,1601
242,8.066666666666666,2069,1260,856,993,680,1601
243,8.1,2070,1267,856,982,680,1601
244,8.133333333333333,2073,1274,856,969,680,1601
245,8.166666666666666,2075,1282,856,956,680,1601
246,8.2,2076,1290,856,948,682,1601
247,8.233333333333333,2077,1296,856,943,684,1601
248,8.266666666666667,2078,1304,856,935,686,1601
249,8.3,2079,1311,857,929,688,1601
250,8.333333333333334,2080,1317,857,923,688,1601
251,8.366666666666667,2081,1322,857,916,688,1601
252,8.4,2082,1328,857,907,691,1601
253,8.433333333333334,2082,1333,857,898,692,1601
254,8.466666666666667,2082,1338,858,891,693,1601
